---Part B Optimiser---
Log created at: 00-36-51--2018-10-26
Created by Jamie on JAMIE-DESKTOP
Computer: JAMIE-DESKTOP
OS: Windows_NT
Processors: 4
Threads: 4
Negative Ct found: Ct=-0.028369, a=-0.072513, adash=-0.002172 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 10.500000, 0.179283, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.072513, adash=-0.002172 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 10.500000, 0.179283, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.072513, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 10.500000, 0.179283, 1.000000, 3.000000)
Negative Ct found: Ct=-0.032127, a=-0.104701, adash=-0.002450 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 11.500000, 0.172301, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.104701, adash=-0.002450 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 11.500000, 0.172301, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.104701, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 11.500000, 0.172301, 1.000000, 3.000000)
Negative Ct found: Ct=-0.034574, a=-0.138900, adash=-0.002628 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 12.500000, 0.165320, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.138900, adash=-0.002628 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 12.500000, 0.165320, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.138900, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 12.500000, 0.165320, 1.000000, 3.000000)
Negative Ct found: Ct=-0.035510, a=-0.171846, adash=-0.002693 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 13.500000, 0.158339, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.171846, adash=-0.002693 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 13.500000, 0.158339, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.171846, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 13.500000, 0.158339, 1.000000, 3.000000)
